鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
文山區,房地(土地+建物),臺北市文山區景仁街20巷1~30號,21.25,商,,,1090326,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),見其他登記事項,加強磚造,0570325,50.07,3,2,2,有,無,6110000,122029,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLLLMHPFFAA08CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路一段61~90號,20.83,商,,,1090214,土地2建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980406,215.28000000000003,3,2,2,有,有,66100000,307042,塔式車位,0.0,0,含增建或未登記建物。;,RPSOMLMLMHPFFAA87CA
文山區,房地(土地+建物),臺北市文山區羅斯福路五段236巷1~30號,36.77,住,,,1090306,土地3建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,95.01,3,2,2,有,無,13420000,141248,,0.0,0,,RPPPMLMLMHPFFAA67CA
中正區,房地(土地+建物),臺北市中正區水源路91~120號,10.73,商,,,1090314,土地2建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960302,111.63,2,2,2,有,有,20200000,180955,,0.0,0,含增建或未登記建物。;,RPVNMLNLMHPFFAA18CA
中正區,房地(土地+建物)+車位,臺北市中正區水源路31~60號,21.24,住,,,1090312,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070223,206.86,4,2,2,有,有,35500000,171614,坡道平面,32.06,0,,RPWNMLNLMHPFFAA28CA
文山區,房地(土地+建物)+車位,臺北市文山區木柵路二段109巷91~120號,36.39,住,,,1090229,土地3建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821206,92.27000000000001,2,2,1,有,無,11350000,123009,坡道機械,0.0,0,含增建或未登記建物。;車位面積無法概算。內含獨立產權車位，未包含在棟數內。,RPXNMLOLMHPFFAA48CA
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄31~60號,40.1,住,,,1090221,土地2建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850925,73.31,2,2,1,有,有,9600000,130951,,0.0,0,含增建或未登記建物。;,RPRNMLLJNHPFFAA47CA
中正區,房地(土地+建物)+車位,臺北市中正區南昌路二段61~90號,5.18,商,,,1081007,土地2建物1車位1,十三層,十四層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1080124,96.78,1,1,1,有,無,19320000,314939,其他,38.61,1000000,親友、員工或其他特殊關係間之交易。;1.親友、員工或其他特殊關係間之交易。2.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊由義務人自行提供屬實。,RPOUMLSKNHPFFAA68CA
中正區,房地(土地+建物)+車位,臺北市中正區南昌路二段61~90號,5.46,商,,,1081009,土地2建物1車位1,十三層,十四層,套房(1房1廳1衛),見其他登記事項,見其他登記事項,1080124,99.77000000000001,1,1,1,有,無,20440000,317855,其他,38.61,1000000,親友、員工或其他特殊關係間之交易。;1.親友、員工或其他特殊關係間之交易。2.地政士僅受託買賣案件申請登記，並未代理撰擬不動產買賣契約書，本成交資訊由義務人自行提供屬實。,RPPUMLSKNHPFFAA78CA
