鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物),臺中市西區柳川東路二段121~150號,4.26,住,,,1090331,土地2建物1車位0,三層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0841207,35.879999999999995,1,0,1,有,有,1500000,41806,,0.0,0,,RPUOMLLLMHPFFAB08CA
西區,房地(土地+建物),臺中市西區向上南路一段61~90號,60.0,住,,,1090407,土地2建物1車位0,全,二層,透天厝,見其他登記事項,見其他登記事項,0610407,87.48,4,3,3,有,無,12200000,139460,,0.0,0,,RPPNMLMLMHPFFAB57CA
東區,房地(土地+建物)+車位,臺中市東區十甲路391~420號,13.91,住,,,1090313,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830702,118.38000000000001,4,2,2,有,有,5720000,48319,坡道機械,0.0,0,,RPRQMLMLMHPFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區復興北路801巷61~90號,22.18,住,,,1090307,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070223,118.37,2,2,1,有,有,8000000,67585,坡道平面,24.17,0,,RPSOMLNLMHPFFAB08CA
西區,房地(土地+建物),臺中市西區民生路61~90號,325.33,住,,,1080812,土地4建物1車位0,全,二層,透天厝,住家用,,,121.23,8,3,3,有,無,30000000,247463,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWNMLNLMHPFFAB38CA
西區,房地(土地+建物),臺中市西區三民西路141巷6弄1~30號,96.0,商,,,1090304,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0770609,139.36,5,2,3,有,無,13000000,93284,,0.0,0,,RPXOMLNLMHPFFAB58CA
西區,房地(土地+建物),臺中市西區精誠二十一街1~30號,9.28,住,,,1090327,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801207,62.75,2,1,1,有,有,3600000,57371,,0.0,0,賣方所有稅規費由買方負擔,RPPNMLOLMHPFFAB77CA
南區,房地(土地+建物),臺中市南區南門路59巷61~90號,3.9,住,,,1090323,土地1建物1車位0,二層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830113,26.650000000000002,1,0,1,有,有,1550000,58161,,0.0,0,,RPWNMLOLMHPFFAB48CA
南區,房地(土地+建物),臺中市南區學府路61~90號,4.89,住,,,1090324,土地1建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840823,65.78,3,0,3,有,有,3580000,54424,,0.0,0,,RPROMLRLMHPFFAB38CA
