鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鹽埕區,建物,高雄市鹽埕區七賢三路241~270號,0.0,,,,1090330,土地0建物1車位0,十一層,十六層,套房(1房1廳1衛),,鋼筋混凝土造,0750217,48.23,0,0,0,無,有,500000,10367,,0.0,0,買清，所有稅費由出賣人負擔。,RPPPMLLLMHPFFAE97CA
前金區,房地(土地+建物)+車位,高雄市前金區光復一街1~30號,17.99,商,,,1080422,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970620,215.26000000000002,4,2,2,有,有,10000000,46455,坡道機械,0.0,0,,RPSNMLOLMHPFFAE38CA
鼓山區,房地(土地+建物),高雄市鼓山區明華路331~360號,12.96,住,,,1090326,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950519,115.65,3,2,2,有,有,6500000,56204,,0.0,0,,RPWOMLOLMHPFFAE88CA
鼓山區,房地(土地+建物),高雄市鼓山區裕興路115巷1~30號,96.73,住,,,1090306,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0860820,273.72,5,3,5,有,無,17200000,62838,,0.0,0,含增建或未登記建物。;,RPSNMLRLMHPFFAE68CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東六街211~240號,9.54,商,,,1090326,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930224,89.47,2,2,1,有,有,5100000,57002,,0.0,0,,RPWNMLQJNHPFFAE88CA
前金區,房地(土地+建物)+車位,高雄市前金區民生二路61~90號,16.63,商,,,1090131,土地1建物1車位2,七層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090110,371.24,3,2,2,有,有,33280000,98000,坡道平面,63.28,3100000,,RPTOMLPKNHPFFAE68CA
前金區,房地(土地+建物)+車位,高雄市前金區民生二路61~90號,15.54,商,,,1050405,土地1建物1車位2,二十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090110,331.38,3,2,2,有,有,33800000,114417,坡道平面,66.56,3500000,,RPVOMLPKNHPFFAE88CA
前金區,房地(土地+建物)+車位,高雄市前金區民生二路61~90號,17.12,商,,,1090204,土地1建物1車位2,十二層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090110,377.79999999999995,3,2,2,有,有,36500000,108780,坡道平面,69.84,3000000,,RPWOMLPKNHPFFAE98CA
前金區,房地(土地+建物)+車位,高雄市前金區民生二路61~90號,14.72,商,,,1070310,土地1建物1車位1,二十層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090110,330.12,3,2,2,有,有,35000000,112127,坡道平面,34.92,1900000,,RPXOMLPKNHPFFAE09CA
前金區,房地(土地+建物)+車位,高雄市前金區民生二路61~90號,16.87,商,,,1050405,土地1建物1車位2,十九層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090110,361.76,3,2,2,有,有,36600000,115176,坡道平面,66.56,2600000,,RPPNMLSKNHPFFAE48CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓山三路211~240號,39.57,住,,,1090314,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760911,149.08,3,2,2,有,無,4360000,29246,,0.0,0,含增建或未登記建物。;,RPROMLTLNHPFFAE98CA
