鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物)+車位,新北市板橋區新站路1~30號,89.77,其他,,,1090315,土地1建物1車位3,四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021227,651.21,0,0,0,無,有,93500000,143579,坡道平面,111.06,0,,RPOOMLLLMHPFFAF87CA
板橋區,房地(土地+建物),新北市板橋區懷仁街91~120號,13.0,住,,,1090308,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691027,48.36,1,1,1,有,有,5000000,103391,,0.0,0,含增建或未登記建物。;,RPSQMLLLMHPFFAF48CA
板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,2.44,住,,,1090205,土地1建物2車位0,三十三層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,72.28999999999999,3,1,2,有,有,9400000,130032,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLMLMHPFFAF78CA
板橋區,房地(土地+建物)+車位,新北市板橋區金門街271~300號,17.66,住,,,1090307,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840527,127.53,3,2,2,有,有,11400000,89391,坡道平面,0.0,0,含增建或未登記建物。;陽台外推增建,RPUOMLMLMHPFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區漢生東路151~180號,14.8,其他,,,1090310,土地1建物1車位1,二十五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980403,220.01999999999998,3,2,2,有,有,42000000,190892,坡道平面,31.72,0,含增建或未登記建物。;,RPOPMLMLMHPFFAF08CA
土城區,土地,員福段121~150地號,2.37,住,,,1061011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,490000,206751,,0.0,0,,RPQPMLMLMHPFFAF28CA
板橋區,房地(土地+建物),新北市板橋區三民路一段3巷1~30號,25.25,住,,,1090307,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,73.76,2,1,1,有,無,6500000,88124,,0.0,0,含增建或未登記建物。;三人共有 前陽台增建,RPTPMLMLMHPFFAF58CA
板橋區,房地(土地+建物),新北市板橋區龍興街95巷1~30號,29.94,住,,,1090317,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,79.9,3,2,1,有,無,6700000,83855,,0.0,0,含增建或未登記建物。;,RPXPMLMLMHPFFAF98CA
土城區,房地(土地+建物),新北市土城區千歲路3巷6弄1~30號,25.52,住,,,1090325,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730711,80.7,3,2,1,有,無,6120000,75836,,0.0,0,,RPPQMLMLMHPFFAF28CA
