鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,縣市
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路一段61~90號,20.83,商,,,1090214,土地2建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980406.0,215.28000000000003,3,2,2,有,有,66100000,307042.0,塔式車位,0.0,0,含增建或未登記建物。;,RPSOMLMLMHPFFAA87CA,臺北市
中正區,房地(土地+建物),臺北市中正區水源路91~120號,10.73,商,,,1090314,土地2建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960302.0,111.63,2,2,2,有,有,20200000,180955.0,,0.0,0,含增建或未登記建物。;,RPVNMLNLMHPFFAA18CA,臺北市
文山區,房地(土地+建物),臺北市文山區木柵路二段109巷100弄31~60號,40.1,住,,,1090221,土地2建物1車位0,八層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850925.0,73.31,2,2,1,有,有,9600000,130951.0,,0.0,0,含增建或未登記建物。;,RPRNMLLJNHPFFAA47CA,臺北市
大同區,房地(土地+建物)+車位,臺北市大同區延平北路三段1~30號,9.6,其他,,,1090316,土地3建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625.0,121.38,2,2,1,有,有,25500000,210084.0,坡道機械,19.67,0,,RPUNMLMLMHPFFBA08CA,臺北市
萬華區,房地(土地+建物),臺北市萬華區桂林路91~120號,4.61,商,,,1090316,土地1建物1車位0,十九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008.0,64.17,2,1,1,有,有,11080000,172666.0,,0.0,0,,RPOPMLNLMHPFFBA77CA,臺北市
萬華區,房地(土地+建物),臺北市萬華區長沙街二段121~150號,12.98,商,,,1090313,土地2建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304.0,144.66,3,2,2,有,有,29000000,200470.0,,0.0,0,,RPVOMLOKNHPFFBA48CA,臺北市
內湖區,房地(土地+建物),臺北市內湖區金湖路31~60號,13.31,住,,,1090409,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,920930.0,63.25,3,2,2,有,有,4350000,68775.0,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPOMLMLMHPFFCA77CA,臺北市
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街31~60號,58.95,住,,,1090304,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990505.0,273.07,3,2,3,有,有,52250000,191343.0,坡道平面,28.29,0,,RPXOMLMLMHPFFCA58CA,臺北市
中山區,房地(土地+建物)+車位,臺北市中山區明水路397巷1~30號,70.85,住,,,1090326,土地1建物1車位3,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961204.0,406.73,4,2,3,有,有,127075000,312431.0,坡道平面,103.44,0,,RPTPMLNLMHPFFCA38CA,臺北市
中山區,房地(土地+建物)+車位,臺北市中山區建國北路三段61~90號,12.31,住,,,1090222,土地2建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016.0,123.47,0,0,0,無,有,27400000,252629.0,坡道平面,26.49,2900000,,RPQNMLKMMHPFFCA67CA,臺北市
中山區,房地(土地+建物)+車位,臺北市中山區建國北路三段61~90號,8.93,住,,,1090120,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016.0,89.59,0,0,0,無,有,21500000,243572.0,坡道機械,8.3,1700000,,RPSNMLKMMHPFFCA87CA,臺北市
中山區,房地(土地+建物)+車位,臺北市中山區五常街11巷1~30號,15.02,住,,,1090408,土地2建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918.0,133.66000000000003,3,2,1,有,有,26880000,253922.0,坡道平面,38.04,2600000,,RPOOMLLKNHPFFCA57CA,臺北市
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,17.26,其他,,,1090321,土地1建物1車位1,八層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223.0,242.01,0,0,0,無,有,56000000,253393.0,坡道平面,29.1,2050000,1.毛胚屋,RPRPMLMKNHPFFCA08CA,臺北市
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段151~180號,20.57,其他,,,1090324,土地1建物1車位2,二十層,二十九層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070223.0,308.5499999999999,0,0,0,無,有,68300000,256441.0,坡道平面,58.2,4100000,1.毛胚屋。,RPSPMLMKNHPFFCA18CA,臺北市
信義區,房地(土地+建物),臺北市信義區松平路121~150號,59.97,住,,,1090311,土地1建物1車位0,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850402.0,244.87,3,2,2,有,有,68700000,280557.0,,0.0,0,,RPPOMLLKNHPFFDA77CA,臺北市
北投區,房地(土地+建物)+車位,臺北市北投區關渡路61~90號,87.22,住,,,1090304,土地1建物3車位2,一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,781208.0,483.66,8,4,4,有,有,45000000,93042.0,坡道平面,0.0,0,,RPSNMLMLMHPFFEA18CA,臺北市
士林區,房地(土地+建物)+車位,臺北市士林區基河路121~150號,28.93,商,,,1090309,土地1建物1車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,901012.0,193.75,3,2,2,有,有,25000000,129032.0,坡道平面,0.0,0,,RPPPMLTLMHPFFEA78CA,臺北市
大安區,房地(土地+建物)+車位,臺北市大安區市民大道三段181~210號,38.95,住,,,1090319,土地2建物1車位2,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050111.0,374.35,4,2,3,有,有,114650000,306264.0,坡道平面,49.6,0,,RPPPMLSLMHPFFFA78CA,臺北市
大安區,房地(土地+建物)+車位,臺北市大安區仁愛路四段361~390號,23.32,其他,,,1090310,土地2建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,751001.0,242.81,4,2,2,有,有,84000000,345950.0,坡道平面,37.6,0,含增建或未登記建物。;,RPPQMLLKNHPFFFA18CA,臺北市
