鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段211~240號,15.85,住,,,1090114,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940302,168.26,4,2,2,有,有,10600000,62994,坡道平面,0.0,0,,RPPPMLMLMHPFFAH38CA
桃園區,車位,桃園市桃園區文中路47巷1~30號,0.0,,,,1090411,土地0建物0車位1,,,其他,,,,27.1,0,0,0,有,有,1300000,,坡道平面,27.09,1300000,單獨車位交易。;,RPWPMLMLMHPFFAH09CA
桃園區,房地(土地+建物),桃園市桃園區中正路901~930號,11.38,住,,,1090214,土地1建物1車位0,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840225,133.45,3,2,2,有,有,8700000,65193,,0.0,0,,RPXRMLMLMHPFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城一街61~90號,20.4,住,,,1090215,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080515,150.41000000000003,3,2,2,有,有,8170000,61063,坡道平面,40.36,1450000,,RPRSMLMLMHPFFAH88CA
桃園區,房地(土地+建物),桃園市桃園區江南二街31~60號,10.12,住,,,1090227,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920414,70.80000000000001,2,2,1,有,有,3800000,53672,,0.0,0,,RPOQMLLLMHPFFAH28CA
桃園區,土地,同安段991~1020地號,131.25,其他,,,1090331,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13675463,104194,,0.0,0,"公共設施保留地之交易本件總價依土地公告現值X118%計價,並將小數點進位至整數",RPSOMLMLMHPFFAH58CA
桃園區,房地(土地+建物),桃園市桃園區民生路301~330號,5.51,商,,,1090403,土地2建物1車位0,六層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960906,49.59,1,1,1,有,有,3250000,65537,,0.0,0,,RPXQMLOLMHPFFAH86CA
桃園區,房地(土地+建物),桃園市桃園區龍泉六街2巷1~30號,94.58,工,,,1090315,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960926,239.81,4,2,3,有,有,11000000,45870,,0.0,0,,RPROMLRLMHPFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉二街31~60號,8.81,商,,,1090309,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,106.45,2,1,1,有,無,5680000,53358,坡道平面,25.77,0,,RPWNMLTLMHPFFAH96CA
桃園區,房地(土地+建物),桃園市桃園區春日路1471~1500號,24.41,住,,,1090321,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951116,130.83,3,2,2,有,有,8000000,61148,,0.0,0,,RPPOMLOJNHPFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路91~120號,24.02,住,,,1090306,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,166.57999999999998,3,2,2,有,有,11900000,75210,坡道平面,30.96,1700000,土地及建物分次登記案件。前案土地登記收件字號：;,RPROMLOJNHPFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路91~120號,22.2,住,,,1090306,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,156.26,3,2,2,有,有,9900000,66241,坡道平面,30.96,1600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSOMLOJNHPFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,19.95,住,,,1090306,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,142.04,3,2,2,有,有,9030000,67789,坡道平面,30.96,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTOMLOJNHPFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,15.93,住,,,1090306,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,119.44,2,2,2,有,有,7550000,67247,坡道平面,30.96,1600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUOMLOJNHPFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,19.95,住,,,1090306,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,142.04,3,2,2,有,有,9360000,69860,坡道平面,30.96,1600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTPMLPJNHPFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路91~120號,22.2,住,,,1090306,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,156.54000000000002,3,2,2,有,有,10500000,70871,坡道平面,30.96,1600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUPMLPJNHPFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,15.93,住,,,1090306,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,119.44,2,2,2,有,有,7750000,70637,坡道平面,30.96,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPWPMLPJNHPFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,16.6,住,,,1090306,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,123.17,2,2,1,有,有,8330000,74070,坡道平面,30.96,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPNMLQJNHPFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,16.63,住,,,1090306,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,123.28999999999999,2,2,1,有,有,7980000,68017,坡道平面,30.96,1700000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQNMLQJNHPFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,15.93,住,,,1090306,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,119.44,2,2,2,有,有,7600000,68942,坡道平面,30.96,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPRNMLQJNHPFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,16.63,住,,,1090306,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,123.28999999999999,2,2,1,有,有,7700000,67150,坡道平面,30.96,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUNMLQJNHPFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,15.93,住,,,1090306,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,119.44,2,2,2,有,有,7570000,67473,坡道平面,30.96,1600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXOMLPJNHPFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路91~120號,22.2,住,,,1090306,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,155.64,3,2,2,有,有,10100000,68977,坡道平面,30.96,1500000,土地及建物分次登記案件。前案土地登記收件字號：;,RPQOMLQJNHPFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文一街1~30號,61.55,商,,,1071214,土地1建物1車位3,二十五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040303,707.7,3,2,3,有,有,73360000,103660,坡道平面,127.26,0,,RPRQMLQJNHPFFAH98CA
桃園區,車位,桃園市桃園區藝文一街1~30號,0.03,商,,,1090224,土地0建物0車位1,,,其他,,,,42.42,0,0,0,有,有,2200000,,坡道平面,42.42,2200000,單獨車位交易。;,RPTQMLQJNHPFFAH56CA
桃園區,房地(土地+建物),桃園市桃園區國際路一段386巷22弄61~90號,108.27,,特定農業區,甲種建築用地,1090318,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0840107,291.6,6,2,3,有,有,12500000,42867,,0.0,0,,RPPNMLTJNHPFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區南平路108巷1~30號,19.2,住,,,1090405,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701022,68.34,2,1,1,有,無,4000000,58531,,0.0,0,,RPUOMLMKNHPFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區大有路151~180號,5.06,住,,,1090315,土地1建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830318,43.57,0,0,0,無,有,2400000,55084,,0.0,0,,RPSPMLNKNHPFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區民富九街181~210號,34.94,住,,,1080324,土地4建物1車位0,一層，地下層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810811,509.69,1,1,2,有,無,22500000,44144,,0.0,0,,RPQQMLNKNHPFFAH68CA
桃園區,土地,桃園段中南小段1~30地號,40.67,其他,,,1090316,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3726018,91616,,0.0,0,,RPRPMLOKNHPFFAH78CA
桃園區,車位,桃園市桃園區宏昌十二街571~600號,0.0,,,,1090326,土地0建物0車位1,,,其他,,,,33.98,0,0,0,有,有,800000,,坡道平面,33.98,800000,,RPSQMLPKNHPFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區漢中路108巷1~30號,19.95,住,,,1090306,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090217,142.04,3,2,2,有,有,9320000,69499,坡道平面,30.96,1600000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPOMLTKNHPFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民生路677巷1~30號,20.52,住,,,1090206,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860925,149.54,3,2,2,有,有,7900000,52829,坡道平面,21.43,0,,RPPTMLTKNHPFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區愛二街61~90號,24.02,住,,,1090226,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001128,171.48,3,2,2,有,有,9050000,52776,坡道平面,37.69,0,,RPRPMLKLNHPFFAH48CA
中壢區,房地(土地+建物),桃園市中壢區仁慈路151~180號,3.2,住,,,1090329,土地1建物1車位0,六層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840805,25.78,1,1,1,有,有,1150000,44608,,0.0,0,,RPTUMLLLMHPFFBH66CA
中壢區,土地,內壢段1081~1110地號,2259.0,農,,,1090229,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,34940000,15467,,0.0,0,,RPQOMLMLMHPFFBH48CA
中壢區,土地,三座屋段舊社小段181~210地號,5.11,商,,,1090327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,618320,121002,,0.0,0,,RPROMLMLMHPFFBH58CA
中壢區,土地,三座屋段舊社小段181~210地號,3.57,商,,,1090408,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,432000,121008,,0.0,0,,RPTOMLMLMHPFFBH78CA
中壢區,房地(土地+建物),桃園市中壢區興南路61~90號,365.0,農,,,1090330,土地1建物1車位0,一層，二層，屋頂突出物,二層,農舍,農舍,鋼筋混凝土造,0940412,82.41,6,2,4,有,無,31322426,,,0.0,0,,RPVOMLMLMHPFFBH98CA
中壢區,房地(土地+建物),桃園市中壢區興南路61~90號,365.0,農,,,1090330,土地1建物1車位0,一層,一層,農舍,農舍,鋼筋混凝土造,0940412,33.45,0,0,0,無,無,23762560,,,0.0,0,,RPWOMLMLMHPFFBH09CA
觀音區,房地(土地+建物),桃園市觀音區福坪路507巷31~60號,82.0,,特定農業區,甲種建築用地,1090317,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841208,179.72,4,1,3,有,無,3500000,19475,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXOMLMLMHPFFBH56CA
觀音區,房地(土地+建物),桃園市觀音區永吉街91~120號,166.0,,工業區,丁種建築用地,1090406,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1010629,404.53,12,0,12,有,無,14500000,35844,,0.0,0,,RPSPMLMLMHPFFBH78CA
中壢區,房地(土地+建物)+車位,桃園市中壢區中華路一段783巷31~60號,18.94,工,,,1090316,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021213,113.37,3,2,2,有,有,6200000,54688,坡道平面,20.75,0,含增建或未登記建物。;,RPVPMLMLMHPFFBH09CA
中壢區,房地(土地+建物)+車位,桃園市中壢區榮安一街421~450號,30.13,住,,,1090313,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920311,169.61,3,2,2,有,有,6850000,40387,坡道平面,0.0,0,,RPXPMLMLMHPFFBH66CA
